lgaCode,lCode,schCode,progID,schName,id
1,1420256700,76,1,"ANIOCHA NORTH NURSERY/PRIMARY SCHOOL, ONICHA-UGBO",4052
1,1420256700,42,1,"DIKANWANNE MEMORIAL NURSERY/PRIMARY SCHOOL, UBULUBU",4053
1,1420256700,75,1,"MARHO FOUNDATION NURSERY/PRIMARY SCHOOL, IDUMUJE-UGBOKO",4054
1,1420256700,72,1,"ANIOCHA NORTH NURSERY/PRIMARY SCHOOL, ISSELE-AZAGBA",4055
1,1420256700,77,1,"OBIOR MODEL PRIMARY SCHOOL, OBIOR",4056
1,1420256700,78,1,"AZAGBA ADULT CENTRE, ISSELE-AZAGBA",4390
1,1420256700,79,1,"OJEIFO PRIMARY SCHOOL, IDUMUJE-UNOR",4391
1,1420256700,80,1,"OGBE PRIMARY SCHOOL, UKWU-NZU",4392
1,1420256700,81,1,"GREAT-FAVOUR MONTESSORI SCHOOL, ISSELE-AZAGBA",4393
1,1420256700,82,1,"LITTLE ANGEL'S INTERNATIONAL ACADEMY, ISSELE-AZAGBA",4394
1,1420256700,83,1,"SOLID FOUNDATION NURSERY/PRIMARY SCHOOL, ISSELE-UKU",4395
1,1420256700,84,1,"PROGRESSIVE NURSERY/PRIMARY SCHOOL, ISSELE-AZAGBA",4396
1,1420256700,85,1,"FIDELITY FORTUNE NURSERY/PRIMARY SCHOOL, ISSELE-UKU",4520
1,1420256700,86,1,"LIVING SEED NURSERY/PRIMARY SCHOOL, ISSELE-UKU",4521
1,1420256700,87,1,"BRIGHT BACKGROUND NURSERY/PRIMARY SCHOOL, ISSELE-UKU",4740
1,1420256700,88,1,"IYIENENE PRIMARY SCHOOL, ANIOMA",4993
1,1420256700,89,1,"GRACELAND DEMONSTRATION N/P/S SCHOOL, ISSELE-UKU",4999
1,1420256700,90,1,"SAINTS PETER AND PAUL CATHOLIC N/P SCHOOL, ISSELE-UKU",5080
1,1420256700,91,1,"ALL SAINTS CATHOLIC N / P/ S, ONICHA-UGBO",5165
1,1420256700,92,1,"BISHOP ANTHONY GBUJI N/P/S, ISSELE-UKU",5181
1,1420256700,93,1,"ST MATHEW'S CATHOLIC N/P/S, IDUMUJE-UNOR",5242
1,1420256700,94,1,"STRONG FAITH NURSERY AND PRIMARY SCHOOL, ISSELE-UKU",5255
1,1420256700,95,1,"FINGER OF GOD NURSERY/PRIMARY/SCHOOL, ISSELE-MKPOTIME",5308
1,1420256700,96,1,"ISREAL NURSERY/PRIMARY SCHOOL, ISSELE-UKU",5364
1,1420256700,97,1,"VICKAM GOD'S GLORY NURSERY/PRIMARY SCHOOL, ISSELE-UKU",5365
1,1420256700,98,1,"SHALOM STARS NURSERY/PRIMARY SCHOOL, ISSELE-AZAGBA",5382
1,1420256700,99,1,"DAMARIS NURSERY/PRIMARY SCHOOL, ISSELE-UKU",5383
1,1420256700,100,1,"JESUS ROOT KNOWLEDGE NURSERY/PRIMARY SCHOOL, ISSELE-UKU",5483
1,1420256700,101,1,"GLORIOUS LIFE NURSERY/PRIMARY SCHOOL, ISSELE-UKU",5484
1,1420256700,102,1,"PEACE AND UNITY NURSERY/PRIMARY SCHOOL, ISSELE-UKU",5485
1,1420256700,103,1,"MERCY TOP NURSERY/PRIMARY SCHOOL, ISSELE-UKU",5486
1,1420256700,104,1,"RADIANT SOLID ROCK NURSERY/PRIMARY SCHOOL,BOJI BOJI PWA",5553
1,1420256700,105,1,"AMAZING CREST NURSERY/PRIMARY SCHOOL, ONICHA-UGBO",5699
2,660742704,1,1,"ABUANOR PRIMARY SCHOOL I, OGWASHI-UKU",1399
2,660742704,2,1,"ABUEDO PRIMARY SCHOOL, UBULU-UKU",1400
2,660742704,3,1,"ABUGBA PRIMARY SCHOOL, UBULU-UKU",1401
2,660742704,4,1,"ADOFI PRIMARY SCHOOL, EJEME-UNOR",1402
2,660742704,5,1,"ANIOBODO PRIMARY SCHOOL, UBULU-UNOR",1403
2,660742704,6,1,"ANIFEKIDE PRIMARY SCHOOL, UBULU-UKU",1404
2,660742704,7,1,"ANIASHAMA PRIMARY SCHOOL, ASHAMA",1405
2,660742704,8,1,"ANINSHI PRIMARY SCHOOL, OGWASHI-UKU",1406
2,660742704,9,1,"ANIGA PRIMARY SCHOOL, ADONTE",1407
2,660742704,10,1,"ANIOGOR PRIMARY SCHOOL I, EJEME-ANIOGOR",1408
2,660742704,11,1,"ASE PRIMARY SCHOOL, OGWASHI-UKU",1410
2,660742704,12,1,"ASHABA OKITI PRIMARY SCHOOL, UBULU-OKITI",1411
2,660742704,13,1,"ASHABA PRIMARY SCHOOL, UBULU-UNOR",1412
2,660742704,14,1,"ASHINZE PRIMARY SCHOOL, AZAGBA OGWASHI-UKU",1413
2,660742704,15,1,"AZAMU PRIMARY SCHOOL, NSUKWA",1414
2,660742704,16,1,"DUGBO PRIMARY SCHOOL, OBI-DUGBO",1415
2,660742704,17,1,"EBITEH PRIMARY SCHOOL, ISAH OGWASHI-UKU",1416
2,660742704,18,1,"EKELIE PRIMARY SCHOOL, ASHAMA",1417
2,660742704,19,1,"ENEDE PRIMARY SCHOOL, NSUKWA",1418
2,660742704,20,1,"ENUGU-IYI PRIMARY SCHOOL, UBULU-UKU",1419
